ID CLIENTE,EDAD,GENERACION,GENERO,ESTADO CIVIL,DEPARTAMENTO VIVIENDA,MUNICIPIO VIVIENDA,INGRESOS MENSUALES,PROFESION,DEPARTAMENTO LABORAL,MUNICIPIO LABORAL,TIENE BANCA ELECTRONICA,PRIMERA APERTURA,ULTIMA TRANSACCION CLIENTE
927866,45,Generacion X,Masculino,Soltero,El Peten,Sayaxche,3710,Agricultor,El Peten,Sayaxche,No,20110804,20221227
3437145,53,Generacion X,Femenino,Casado,Guatemala,Guatemala,10000,Maestro De Educacion Primaria,Guatemala,Guatemala,Si,19890406,20221229
1393429,27,Millenials,Masculino,Soltero,Guatemala,Guatemala,4400,Estudiante,Guatemala,Guatemala,No,20160505,20221230
4208106,25,Generacion Z,Masculino,Soltero,El Peten,Flores,7771,Licenciatura En Derecho,Guatemala,Guatemala,Si,20210517,20221229
4141368,29,Millenials,Masculino,Soltero,Retalhuleu,Retalhuleu,0,Bachiller En Computacion,Retalhuleu,Retalhuleu,Si,20210105,20211011
3491500,27,Millenials,Masculino,Soltero,Guatemala,Mixco,0,Estudiante,Error,Error,Si,20180103,20221230
4370037,35,Millenials,Masculino,Soltero,Izabal,El Estor,4835,Educacion Basica Completa,Guatemala,Guatemala,No,20220505,20221226
4482819,45,Generacion X,Masculino,Casado,Guatemala,Guatemala,3893,Perito  Contador,Guatemala,Guatemala,No,20040615,20221230
1259602,26,Generacion Z,Femenino,Soltero,Guatemala,Villa Canales,10000,Bachiller En Ciencias Y Letras,Guatemala,Guatemala,Si,20151017,20221230
926260,39,Millenials,Masculino,Soltero,Quetzaltenango,Coatepeque,1958,Agricultor,Quetzaltenango,Coatepeque,Si,20110801,20220610
4431377,22,Generacion Z,Masculino,Soltero,Escuintla,La Gomera,1690,Tercero Basico,Escuintla,La Gomera,No,20220816,20221203
2772985,56,Generacion X,Masculino,Soltero,Quetzaltenango,El Palmar,0,Agricultor,Error,Error,No,20020611,20221226
3048014,50,Generacion X,Masculino,Casado,Escuintla,Puerto San Jose,10000,Sexto Primaria,Escuintla,Puerto San Jose,No,19990104,20221228
3498545,28,Millenials,Masculino,Soltero,Guatemala,Guatemala,6771,Educacion Basica Completa,Guatemala,Guatemala,Si,20171128,20221224
4435098,46,Generacion X,Femenino,Soltero,Guatemala,Villa Nueva,3000,Tercero Basico,Guatemala,Guatemala,No,20220822,20221217
4118134,47,Generacion X,Masculino,Casado,Guatemala,Santa Catarina Pinula,0,Bachiller En Ciencias Y Letras,Error,Error,No,20201010,20221229
4410320,23,Generacion Z,Masculino,Soltero,Guatemala,Villa Nueva,3210,Bachiller En Computacion,Guatemala,Guatemala,Si,20220711,20221230
3543298,35,Millenials,Masculino,Casado,Baja Verapaz,Granados,7347,Agricultor,Error,Error,No,20180324,20221230
259786,50,Generacion X,Femenino,Soltero,Escuintla,San Vicente Pacaya,3404,Educacion Basica Completa,Error,Error,Si,20070111,20220913
2721584,2024,No Aplica,Error,Error,Santa Rosa,Santa Rosa De Lima,0,Error,Guatemala,Guatemala,Si,20090423,20221219
3872455,27,Millenials,Masculino,Soltero,Alta Verapaz,Coban,10000,Bachiller En Ciencias Y Letras,Alta Verapaz,Coban,Si,20190117,20221221
827058,43,Generacion X,Masculino,Soltero,Guatemala,Guatemala,6395,Educacion Basica Completa,Guatemala,Guatemala,No,20011002,20221225
4407867,22,Generacion Z,Masculino,Soltero,Quetzaltenango,La Esperanza,4085,Perito  Contador,Guatemala,Guatemala,Si,20220707,20221229
1068737,67,Baby Boomers,Masculino,Soltero,Guatemala,Guatemala,3000,Tercero Basico,Error,Error,Si,20120510,20221229
1824930,47,Generacion X,Femenino,Soltero,Guatemala,Guatemala,10000,Bachiller En Computacion,Guatemala,Guatemala,Si,20001128,20221228
3952484,71,Baby Boomers,Femenino,Casado,Guatemala,Guatemala,0,Bachiller En Ciencias Y Letras,Error,Error,Si,20051005,20220912
918255,79,Generacion Silenciosa,Masculino,Casado,Guatemala,Mixco,4505,Educacion Basica Completa,Guatemala,Mixco,No,20111011,20221228
1135044,38,Millenials,Femenino,Soltero,Guatemala,Chinautla,6140,Sexto Primaria,Guatemala,Guatemala,No,20090810,20221230
1482564,29,Millenials,Femenino,Soltero,Guatemala,San Miguel Petapa,6535,Bachiller En Computacion,Guatemala,Santa Catarina Pinula,Si,20130614,20221229
1594390,32,Millenials,Masculino,Soltero,Guatemala,Villa Nueva,3136,Bachiller En Computacion,Guatemala,Mixco,No,20130208,20220520
1357240,28,Millenials,Masculino,Soltero,Escuintla,La Gomera,3548,Sexto Primaria,Escuintla,Puerto San Jose,Si,20151219,20221229
862414,32,Millenials,Masculino,Soltero,Guatemala,Mixco,6991,Bachiller En Ciencias Y Letras,Guatemala,Guatemala,No,20110111,20221230
3931919,63,Baby Boomers,Masculino,Soltero,Guatemala,Palencia,0,Sexto Primaria,Error,Error,Si,20000204,20211117
3074785,43,Generacion X,Femenino,Casado,Guatemala,Mixco,10000,Licenciatura En Derecho,Guatemala,Guatemala,No,20070821,20221230
4238971,36,Millenials,Femenino,Casado,Escuintla,Tiquisate,1491,Sexto Primaria,Escuintla,Tiquisate,No,20210728,20220213
3895502,24,Generacion Z,Femenino,Soltero,Guatemala,Palencia,3000,Estudiante,Error,Error,Si,20190228,20210918
553305,33,Millenials,Masculino,Casado,Guatemala,San Miguel Petapa,50000,Licenciatura En Auditoria,Guatemala,Guatemala,Si,20081129,20221215
4112265,25,Generacion Z,Masculino,Soltero,Jalapa,Mataquescuintla,0,Perito  Contador,Guatemala,Guatemala,Si,20200917,20210915
4166856,23,Generacion Z,Femenino,Casado,Jalapa,Jalapa,2972,Bachiller En Ciencias Y Letras,Sacatepequez,Antigua Sacatepequez,Si,20210218,20221230
1111425,41,Millenials,Masculino,Soltero,El Peten,La Libertad,5538,Ingeneria Agronoma,El Peten,Sayaxche,Si,20121005,20221230
3541457,40,Millenials,Masculino,Soltero,Guatemala,Villa Canales,3552,Perito  Contador,Guatemala,Guatemala,No,20100619,20221230
3636976,48,Generacion X,Femenino,Casado,Guatemala,San Jose Pinula,12259,Licenciatura En Administracion De Empresas,Guatemala,San Jose Pinula,Si,20070822,20221230
2641507,63,Baby Boomers,Femenino,Casado,Guatemala,Santa Catarina Pinula,0,Licenciatura En Administracion De Empresas,Error,Error,Si,20130510,20221224
3694848,63,Baby Boomers,Masculino,Soltero,Escuintla,Puerto San Jose,0,Transportista,Error,Error,No,20180910,20221229
1257667,41,Millenials,Masculino,Casado,Escuintla,La Gomera,3606,Sexto Primaria,Escuintla,La Gomera,No,20151014,20221230
3943853,48,Generacion X,Femenino,Soltero,Guatemala,Mixco,0,Bachiller En Ciencias Y Letras,Guatemala,Guatemala,Si,20020119,20221216
2782551,46,Generacion X,Masculino,Casado,Escuintla,Puerto San Jose,3474,Perito  Contador,Escuintla,Puerto San Jose,No,20150105,20221006
3512602,34,Millenials,Error,Error,Guatemala,Mixco,3450,Error,Guatemala,Guatemala,No,20150216,20221230
715024,17,Generacion Z,Masculino,Soltero,Guatemala,Mixco,10000,Estudiante,Error,Error,Si,20100107,20221220
1281963,28,Millenials,Femenino,Soltero,Escuintla,Tiquisate,2644,Educacion Basica Completa,Escuintla,Tiquisate,No,20151015,20221229
4295044,20,Generacion Z,Masculino,Soltero,Guatemala,Guatemala,4001,Educacion Basica Completa,Guatemala,Guatemala,No,20211206,20220128
